date,value
2015-01-01,10.12
2015-02-01,9.98
2015-03-01,10.25
2015-04-01,10.05
2015-05-01,10.31
2015-06-01,10.08
2015-07-01,9.92
2015-08-01,10.14
2015-09-01,10.06
2015-10-01,10.22
2015-11-01,10.01
2015-12-01,10.18
2016-01-01,10.09
2016-02-01,9.95
2016-03-01,10.16
2016-04-01,10.03
2016-05-01,10.27
2016-06-01,10.11
2016-07-01,9.97
2016-08-01,10.21
2016-09-01,10.04
2016-10-01,10.19
2016-11-01,10.07
2016-12-01,10.13
2017-01-01,10.02
2017-02-01,10.24
2017-03-01,10.06
2017-04-01,10.17
2017-05-01,9.96
2017-06-01,10.12
2017-07-01,10.05
2017-08-01,10.28
2017-09-01,10.09
2017-10-01,10.15
2017-11-01,10.03
2017-12-01,10.20
2018-01-01,10.11
2018-02-01,10.07
2018-03-01,10.23
2018-04-01,10.02
2018-05-01,10.19
2018-06-01,10.10
2018-07-01,10.04
2018-08-01,10.26
2018-09-01,10.08
2018-10-01,10.21
2018-11-01,10.00
2018-12-01,10.16
2019-01-01,9.97
2019-02-01,10.14
2019-03-01,10.06
2019-04-01,10.18
2019-05-01,10.03
2019-06-01,10.22
2019-07-01,10.09
2019-08-01,10.11
2019-09-01,10.05
2019-10-01,10.17
2019-11-01,10.02
2019-12-01,10.20
2020-01-01,12.31
2020-02-01,12.08
2020-03-01,12.42
2020-04-01,12.15
2020-05-01,12.37
2020-06-01,12.11
2020-07-01,12.28
2020-08-01,12.06
2020-09-01,12.34
2020-10-01,12.19
2020-11-01,12.26
2020-12-01,12.09
2021-01-01,12.33
2021-02-01,12.14
2021-03-01,12.41
2021-04-01,12.22
2021-05-01,12.36
2021-06-01,12.10
2021-07-01,12.29
2021-08-01,12.05
2021-09-01,12.38
2021-10-01,12.17
2021-11-01,12.24
2021-12-01,12.12
2022-01-01,12.35
2022-02-01,12.09
2022-03-01,12.43
2022-04-01,12.16
2022-05-01,12.39
2022-06-01,12.13
2022-07-01,12.27
2022-08-01,12.07
2022-09-01,12.32
2022-10-01,12.20
2022-11-01,12.25
2022-12-01,12.11
2023-01-01,12.37
2023-02-01,12.15
2023-03-01,12.44
2023-04-01,12.18
2023-05-01,12.40
2023-06-01,12.14
2023-07-01,12.30
2023-08-01,12.08
2023-09-01,12.36
2023-10-01,12.21
2023-11-01,12.26
2023-12-01,12.13
2024-01-01,12.34
2024-02-01,12.12
2024-03-01,12.39
2024-04-01,12.17
2024-05-01,12.33
2024-06-01,12.10
2024-07-01,12.28
2024-08-01,12.06
2024-09-01,12.31
2024-10-01,12.19
2024-11-01,12.23
2024-12-01,12.11
