event,final_mass_source_msun,final_mass_detector_msun,final_spin,redshift,network_snr,source_url,catalog_version,preferred_pe_record,notes
GW200129_065458,60.2,71.036,0.73,0.18,26.8,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200129_065458/v1,GWTC-3-confident/v1,GWTC-3-confident_GW200129_065458_R2_pe_combined,"Official GWOSC eventapi; preferred PE final_spin; detector mass computed as source mass times (1+z)."
GW150914,63.1,68.779,0.69,0.09,25.2,https://gwosc.org/eventapi/json/GWTC-1-confident/GW150914/v3,GWTC-1-confident/v3,gwtc1_pe_GW150914,"Official GWOSC eventapi; preferred PE a_final; detector mass computed as source mass times (1+z)."
GW190521_074359,72.6,87.846,0.71,0.21,25.9,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190521_074359/v2,GWTC-2.1-confident/v2,GWTC-2.1-confident_GW190521_074359_R2_pe_combined,"Official GWOSC eventapi; preferred PE final_spin; detector mass computed as source mass times (1+z)."
GW200224_222234,68.7,90.684,0.73,0.32,20.0,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200224_222234/v1,GWTC-3-confident/v1,GWTC-3-confident_GW200224_222234_R2_pe_combined,"Official GWOSC eventapi; preferred PE final_spin; detector mass computed as source mass times (1+z)."
GW190412,35.6,40.94,0.66,0.15,19.8,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190412/v4,GWTC-2.1-confident/v4,GWTC-2.1-confident_GW190412_R2_pe_combined,"Official GWOSC eventapi; preferred PE final_spin; detector mass computed as source mass times (1+z)."
GW200112_155838,60.8,75.392,0.71,0.24,19.8,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200112_155838/v1,GWTC-3-confident/v1,GWTC-3-confident_GW200112_155838_R2_pe_combined,"Official GWOSC eventapi; preferred PE final_spin; detector mass computed as source mass times (1+z)."
GW200311_115853,59.0,72.57,0.69,0.23,17.8,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200311_115853/v1,GWTC-3-confident/v1,GWTC-3-confident_GW200311_115853_R2_pe_combined,"Official GWOSC eventapi; preferred PE final_spin; detector mass computed as source mass times (1+z)."
GW170814,53.2,59.584,0.72,0.12,17.2,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170814/v3,GWTC-1-confident/v3,gwtc1_pe_GW170814,"Official GWOSC eventapi; preferred PE a_final; detector mass computed as source mass times (1+z)."
GW190828_063405,54.3,74.934,0.74,0.38,16.5,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_063405/v2,GWTC-2.1-confident/v2,GWTC-2.1-confident_GW190828_063405_R2_pe_combined,"Official GWOSC eventapi; preferred PE final_spin; detector mass computed as source mass times (1+z)."
GW170104,48.9,58.68,0.66,0.20,13.0,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170104/v2,GWTC-1-confident/v2,gwtc1_pe_GW170104,"Official GWOSC eventapi; preferred PE a_final; detector mass computed as source mass times (1+z)."
GW190521,147.4,229.944,0.62,0.56,14.3,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190521/v4,GWTC-2.1-confident/v4,GWTC-2.1-confident_GW190521_R2_pe_combined,"Official GWOSC eventapi; preferred PE final_spin; detector mass computed as source mass times (1+z)."
GW170823,65.4,88.29,0.72,0.35,11.5,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170823/v1,GWTC-1-confident/v1,gwtc1_pe_GW170823,"Official GWOSC eventapi; preferred PE a_final; detector mass computed as source mass times (1+z)."
