ell	P(ell)	d_s(ell)
1.000e-01	3.960248e+01	0.024305
1.212e-01	3.941821e+01	0.029965
1.468e-01	3.914968e+01	0.043902
1.778e-01	3.875967e+01	0.064264
2.154e-01	3.819597e+01	0.093949
2.610e-01	3.738711e+01	0.137076
3.162e-01	3.623861e+01	0.199412
3.831e-01	3.463272e+01	0.288782
4.642e-01	3.243704e+01	0.415259
5.623e-01	2.953091e+01	0.590423
6.813e-01	2.586052e+01	0.824053
8.254e-01	2.152458e+01	1.114667
1.000e+00	1.686008e+01	1.428949
1.212e+00	1.243874e+01	1.675327
1.468e+00	8.864176e+00	1.723386
1.778e+00	6.420156e+00	1.536929
2.154e+00	4.914548e+00	1.263976
2.610e+00	3.952600e+00	1.064411
3.162e+00	3.266492e+00	0.952813
3.831e+00	2.742083e+00	0.881761
4.642e+00	2.328743e+00	0.825474
5.623e+00	1.997568e+00	0.775125
6.813e+00	1.729554e+00	0.726973
8.254e+00	1.511261e+00	0.678506
1.000e+01	1.333060e+00	0.653877

Refinement diagnostic: max |Δ d_s| = 0.45255705227999155
